"Branch Name";"Swift Code"
"CM – CIC BANQUES – PARIS";"CMCIFRPPCOR"
"CNCE GESTITRES – IVRY-SUR-SEINE";"SDBFFRPPXXX"
"CNP ASSURANCES – PARIS";"CNPAFRPPXXX"
"COFACREDIT – PARIS";"COFEFR2PXXX"
"COFIDIS – VILLENEUVE D’ASCQ";"CFFIFR2LXXX"
"COMMERZBANK AG – PARIS";"COBAFRPXXXX"
"COMMERZBANK AG, PARIS BRANCH (FORMERLY DRESDNER BANK AG, PARIS BRANCH) – PARIS";"DRESFRPXXXX"
"COMPAGNIE DE FINANCEMENT FONCIER – PARIS";"CFFOFRPPXXX"
"COMPAGNIE DE FINANCEMENT FONCIER – PARIS";"CFFOFRPPSSS"
"COMPAGNIE DE SAINT-GOBAIN – COURBEVOIE";"SGOBFRPPXXX"
"COMPAGNIE FINANCIERE EDMOND DE ROTHSCHILD BANQUE, LA – PARIS";"COFIFRPPXXX"
"COMPAGNIE FINANCIERE EDMOND DE ROTHSCHILD BANQUE, LA – PARIS";"COFIFRPPRAM"
"CORTAL CONSORS FRANCE – RUEIL MALMAISON";"BCRTFRPPXXX"
"COUNCIL OF EUROPE DEVELOPMENT BANK – PARIS";"CEFPFRPPXXX"
"CP OR DEVISES – PARIS";"CPBIFRPPXXX"
"CPI – CROISSY SUR SEINE";"CPIIFRPPXXX"
"CPR ASSET MANAGEMENT – PARIS";"CPRMFRPPXXX"
"CPRPSNCF – MARSEILLE";"CPRPFR22XXX"
"CRC MARIT MUT ATLANTIQUE – SAINT HERBLAIN";"CCBPFRPP219"
"CRC MARIT MUTUEL DU LITTORAL SUD OUEST – LA ROCHELLE";"CCBPFRPP169"
"CRCMM DE BRETAGNE NORMANDIE – RENNES";"CCBPFRPP149"
"CREDIT COMMERCIAL DE FRANCE – PARIS";"CCFRFRCRXXX"
"CREDIT COMMERCIAL DU SUD-OUEST – MERIGNAC";"CCBPFRPP555"
"CREDIT COOPERATIF – NANTERRE";"CCOPFRCPXXX"
"CREDIT COOPERATIF – NANTERRE";"CCOPFRPPXXX"
"CREDIT COOPERATIF – NANTERRE";"CCOPFRPPFXD"
